Symbol,Name,Division
 EE 302, Introduction to Electrical Engineering  , Lower Division 
 EE 306, Introduction to Computing  , Lower Division 
 EE 309S, Development of a Solar-Powered Vehicle  , Lower Division 
 EE 312, Software Design and Implementation I   , Lower Division 
 EE 313, Linear Systems and Signals  , Lower Division 
 EE 316, Digital Logic Design  , Lower Division 
 EE 319K, Introduction to Embedded Systems  , Lower Division 
 EE 411, Circuit Theory  , Lower Division 
 EE 125N, Cooperative Engineering  , Upper Division 
 EE 125S, Internship in Electrical and Computer Engineering  , Upper Division 
 EE 225MA, Cooperative Engineering  , Upper Division 
 EE 225MB, Cooperative Engineering  , Upper Division 
 EE 325, Electromagnetic Engineering  , Upper Division 
 EE 325K, Antennas and Wireless Propagation  , Upper Division 
 EE 325L, Cooperative Engineering  , Upper Division 
 EE 333T, Engineering Communication  , Upper Division 
 EE 334K, Quantum Theory Electronic Materials  , Upper Division 
 EE 338L, Analog Integrated Circuit Design  , Upper Division 
 EE 339, Solid-State Electronic Devices  , Upper Division 
 EE 339S, Solar Energy Conversion Devices  , Upper Division 
 EE 340P, High -Throughput Nanopatterning   , Upper Division 
 EE 341, Electric Drives and Machines  , Upper Division 
 EE 347, Modern Optics  , Upper Division 
 EE 348, Laser and Optical Engineering  , Upper Division 
 EE 351K, Probability and Random Processes  , Upper Division 
 EE 351M, Digital Signal Processing  , Upper Division 
 EE 360C, Algorithms  , Upper Division 
 EE 360F, Intro to Software Engineering  , Upper Division 
 EE 360K, Introduction to Digital Communications  , Upper Division 
 EE 360P, Concurrent and Distributed Systems  , Upper Division 
 EE 360T, Software Testing  , Upper Division 
 EE 361C, Multicore Computing  , Upper Division 
 EE 361Q, Requirements Engineering  , Upper Division 
 EE 361R, Radio-Frequency Electronics  , Upper Division 
 EE 362G, Smart Grids  , Upper Division 
 EE 362K, Introduction to Automatic Control  , Upper Division 
 EE 362Q, Power Quality and Harmonics  , Upper Division 
 EE 362R, Renewable Energy and Power Systems  , Upper Division 
 EE 362S, Development of Solar-Powered Vehicle  , Upper Division 
 EE 363M, Microwave and Radio Frequency Engineering  , Upper Division 
 EE 363N, Engineering Acoustics  , Upper Division 
 EE 364D, Introduction to Engineering Design  , Upper Division 
 EE 364E, Interdisciplinary Entrepreneurship  , Upper Division 
 EE 368L, Power Systems Apparatus and Laboratory  , Upper Division 
 EE 369, Power Systems Engineering  , Upper Division 
 EE 371R/ EE 371Q, Digital Image and Video Processing  , Upper Division 
 EE 374K, Biomedical Electronics Instrument Design  , Upper Division 
 EE 374L, Applications of Biomedical Engineering  , Upper Division 
 EE 379K, Topics in Electrical Engineering  , Upper Division 
 EE 422C, Software Design and Implementation II   , Upper Division 
 EE 438, Fundamentals Electronic Circuits  , Upper Division 
 EE 438K, Analog Electronics  , Upper Division 
 EE 440, Integrated Circuit Nanomanufacturing Techniques  , Upper Division 
 EE 445L, Embedded Systems Design Lab  , Upper Division 
 EE 445M, Embedded and Real-Time Systems Laboratory  , Upper Division 
 EE 445S, Real-Time Digital Sig Proc Lab  , Upper Division 
 EE 460J, Data Science Laboratory   , Upper Division 
 EE 460M, Digital Systems Design Using HDL  , Upper Division 
 EE 460N, Computer Architecture  , Upper Division 
 EE 460R, Introduction to VLSI Design  , Upper Division 
 EE 461L, Software Engineering and Design Laboratory  , Upper Division 
 EE 461P, Data Science Principles  , Upper Division 
 EE 461S, Operating Systems  , Upper Division 
 EE 462L, Power Electronics Laboratory  , Upper Division 
 EE 464H, Honors Senior Design Project  , Upper Division 
 EE 464K, Senior Design Project  , Upper Division 
 EE 464R, Research Senior Design Project  , Upper Division 
 EE 464S, Start-Up Senior Design Project  , Upper Division 
 EE 471C, Wireless Communications Laboratory  , Upper Division 
 EE 679HA, Undergraduate Honors Thesis  , Upper Division 
 EE 679HB, Undergraduate Honors Thesis  , Upper Division 
 EE X29S, Topics in Electrical Engineering (Study Abroad)  , Upper Division 
 EE X60, Special Problems in Electrical and Computer Engineering (Research)  , Upper Division 
